Date,Time,Depth,Block Ht,Bit Depth,ROP(1 ft),ROP (1min),Hookload,Pump Pressure,Surface Torque,Rotary Speed,Pump 1 SPM,Pump 2 SPM,Pit Total,Flow In,Flow Out,Temp In,Temp Out
7/31/2117,11:17:57,81,12,1,1,1,16.8,12.22,189.68,1,1,1,187.92,1,1.35,91.14,-85.1
7/30/2117,11:17:58,81,12,1,1,1,16.8,11.84,189.68,1.14,1,1,185.77,1,1.35,91.14,85.1
7/31/2117,11:17:57,81,12,1,1,1,16.87,11.46,191.78,1,1,1,184.84,1,1.35,91.14,85.1
7/31/2107,11:18:10,81,11,1,1,1,16.8,11.84,189.68,1.14,1,1,184.6,1,1.35,91.1,85.1
7/31/2117,11:18:11,81,11,1,1,1,16.72,11.84,191.78,1,1,1,184.24,1,1.35,91.1,85.1
8/31/2117,11:18:12,81,-9,1,1,1,16.87,12.22,191.78,1.14,1,1,187.17,1,1.35,91.14,85.1
7/31/2117,11:18:13,81,13,1,1,1,16.95,11.46,191.78,1,1,1,191.59,1,1.33,91.14,85.1
7/31/2917,11:17:58,81,14,1,1,1,16.8,11.46,191.78,1,1,1,195.49,1,-1.35,91.1,85.1
7/31/2117,11:18:15,81,12,1,1,1,16.87,11.84,191.78,1,1,1,196.48,1,1.35,91.14,85.1
7/31/2117,11:18:16,81,11,1,1,0,16.95,12.22,191.78,1.14,1,1,195.61,1,1.33,91.14,85.1
