Date,Time,Depth,Block Ht,Bit Depth,ROP(1 ft),ROP (1min),Hookload,Pump Pressure,Surface Torque,Rotary Speed,Pump 1 SPM,Pump 2 SPM,Pit Total,Flow In,Flow Out,Temp In,Temp Out
7/31/2117,12:27:57,81,12,2,2,2,16.8,12.22,189.68,2,2,2,187.92,2,2.35,91.14,85.1
7/32/2117,12:27:58,81,12,2,2,2,16.8,11.84,189.68,2.24,2,2,185.77,2,2.35,91.14,85.1
7/31/2117,12:27:57,81,12,2,2,2,16.87,11.46,192.78,2,2,2,184.84,2,2.35,91.14,85.1
7/31/2117,12:28:22,81,11,2,2,2,16.8,11.84,189.68,2.24,2,2,184.6,2,2.35,91.1,85.1
7/31/2117,12:28:21,81,12,2,2,2,16.72,11.84,192.78,2,2,2,184.24,2,2.35,91.1,85.1
7/31/2117,12:28:22,81,9,2,2,2,16.87,12.22,192.78,2.24,2,2,187.17,2,2.35,91.14,85.1
7/31/2117,12:28:23,81,13,2,2,2,16.95,11.46,192.78,2,2,2,192.59,2,2.33,91.14,85.1
7/31/2117,12:27:58,81,14,2,2,2,16.8,11.46,192.78,2,2,2,195.49,2,2.35,91.1,85.1
7/31/2117,12:28:25,81,12,2,2,2,16.87,11.84,192.78,2,2,2,196.48,2,2.35,91.14,85.1
7/31/2217,12:28:25,81,12,2,2,2,16.95,12.22,192.78,2.24,2,2,195.61,2,2.33,91.14,85.1
